session_id,true_label,group_id,split
tasktracker_java_brackets_brackets_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,train
tasktracker_java_brackets_brackets_50952_1381656317_16469640206.523684_92a7d3568ab93bcb57ccf34a5cdc36bc850252e6,1,50952_1381656317_16469640206.523684_92a7d3568ab93bcb57ccf34a5cdc36bc850252e6,train
tasktracker_java_brackets_brackets_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,train
tasktracker_java_brackets_brackets_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,1,53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,train
tasktracker_java_max_3_max_3_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,0,204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,train
tasktracker_java_max_3_max_3_204060_1403686852_452957577733.4277_ca949b775e8bfc31f714dcba1671cd258a28f6ca,0,204060_1403686852_452957577733.4277_ca949b775e8bfc31f714dcba1671cd258a28f6ca,train
tasktracker_java_max_3_max_3_35359_668337716_700492825690.7686_7afd44537ebff4868a2797df29e090d01d6c77f6,0,35359_668337716_700492825690.7686_7afd44537ebff4868a2797df29e090d01d6c77f6,train
tasktracker_java_max_3_max_3_35912_1100763038_598559937468.288_3f848c12f0d0f9abcded2bd9a89f972559874307,0,35912_1100763038_598559937468.288_3f848c12f0d0f9abcded2bd9a89f972559874307,train
tasktracker_java_max_3_max_3_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,train
tasktracker_java_max_3_max_3_50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc,1,50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc,train
tasktracker_java_max_3_max_3_50236_357787407_1429767635995.9395_d5f5d101e93288426793cab0366b57fca7e2e9c8,0,50236_357787407_1429767635995.9395_d5f5d101e93288426793cab0366b57fca7e2e9c8,train
tasktracker_java_max_3_max_3_50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212,1,50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212,train
tasktracker_java_max_3_max_3_50245_20002811_750838435890.7542_463f1342508be0c8c3bef7dc4bb96b162edb6147,0,50245_20002811_750838435890.7542_463f1342508be0c8c3bef7dc4bb96b162edb6147,train
tasktracker_java_max_3_max_3_50254_213335595_1506562519119.1558_92207ad2e5d3fd87a23bfe292d58026dd5f46040,0,50254_213335595_1506562519119.1558_92207ad2e5d3fd87a23bfe292d58026dd5f46040,train
tasktracker_java_max_3_max_3_50835_697721268_610221703032.3408_47c9336e4957bb8c138f480cb62c183251fe298b,0,50835_697721268_610221703032.3408_47c9336e4957bb8c138f480cb62c183251fe298b,train
tasktracker_java_max_3_max_3_51362_785676883_11698347327.775366_1d72cbf4974d2abb7d8dba30e213c39a695dced1,0,51362_785676883_11698347327.775366_1d72cbf4974d2abb7d8dba30e213c39a695dced1,train
tasktracker_java_max_3_max_3_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,train
tasktracker_java_max_3_max_3_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,0,53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,train
tasktracker_java_max_3_max_3_57067_1261491634_1303314701575.888_3d56ea1064305d2147d63f7a4943bcb8de5510a8,0,57067_1261491634_1303314701575.888_3d56ea1064305d2147d63f7a4943bcb8de5510a8,train
tasktracker_java_max_3_max_3_57490_330720948_1298527170716.4583_3128870c90ce1bb6fac7851789f7507b0bd3c717,0,57490_330720948_1298527170716.4583_3128870c90ce1bb6fac7851789f7507b0bd3c717,train
tasktracker_java_max_3_max_3_57763_274982267_329582703167.56854_e2d08267215382b9dc4478669b7c47850e13c63d,1,57763_274982267_329582703167.56854_e2d08267215382b9dc4478669b7c47850e13c63d,train
tasktracker_java_max_3_max_3_57789_819206578_644461315473.2961_d5608873680c0af72b92960dfe0af2a77bc55694,0,57789_819206578_644461315473.2961_d5608873680c0af72b92960dfe0af2a77bc55694,train
tasktracker_java_max_digit_max_digit_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,train
tasktracker_java_max_digit_max_digit_50257_1709204793_108459306453.05919_2247f558c83bf63053b1624a2659fc4e4d4558a2,0,50257_1709204793_108459306453.05919_2247f558c83bf63053b1624a2659fc4e4d4558a2,train
tasktracker_java_max_digit_max_digit_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,train
tasktracker_java_max_digit_max_digit_51842_783082061_1448226214940.27_0aef4b4458c79d9d8e7a8d6918a3e7fbde0853fa,0,51842_783082061_1448226214940.27_0aef4b4458c79d9d8e7a8d6918a3e7fbde0853fa,train
tasktracker_java_max_digit_max_digit_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,0,53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,train
tasktracker_java_pies_pies_1105_1557047966_1080013613426.9247_77ca8e1a54b7fdc837185e46ba6c2d6d5b1eb65b,1,1105_1557047966_1080013613426.9247_77ca8e1a54b7fdc837185e46ba6c2d6d5b1eb65b,train
tasktracker_java_pies_pies_204023_1295672917_582321549345.9686_885c9af3bc45c5b668f90b9226498d251192f5b0,0,204023_1295672917_582321549345.9686_885c9af3bc45c5b668f90b9226498d251192f5b0,train
tasktracker_java_pies_pies_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,1,204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,train
tasktracker_java_pies_pies_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,train
tasktracker_java_pies_pies_50200_1421378627_1179200758740.3208_fb53c43283c02986a479301ab34083fad2030fe2,0,50200_1421378627_1179200758740.3208_fb53c43283c02986a479301ab34083fad2030fe2,train
tasktracker_java_pies_pies_50201_922288987_342642750164.68304_a022a4088bb525bd7b511483d514a1023f39e15c,1,50201_922288987_342642750164.68304_a022a4088bb525bd7b511483d514a1023f39e15c,train
tasktracker_java_pies_pies_50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc,0,50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc,train
tasktracker_java_pies_pies_50240_1600961792_329781335745.4937_cb033bbe50ab86115e134a01d28048377ff1bf47,0,50240_1600961792_329781335745.4937_cb033bbe50ab86115e134a01d28048377ff1bf47,train
tasktracker_java_pies_pies_50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212,0,50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212,train
tasktracker_java_pies_pies_50250_1544338911_1199532539136.588_d63c638bc06575f2d00f972b57b3fe0996e8ea14,0,50250_1544338911_1199532539136.588_d63c638bc06575f2d00f972b57b3fe0996e8ea14,train
